"unitid","institution name","year","C2017_A.First or Second Major","C2017_A.CIP Code -  2010 Classification","CipTitle","C2017_A.Award Level code","C2017_A_RV.Grand total","IDX_C"
"100654","Alabama A & M University","2017","First major","'13'","Education","Bachelor's degree","54","-2"
"100654","Alabama A & M University","2017","First major","'13'","Education","Master's degree","44","-2"
"100663","University of Alabama at Birmingham","2017","First major","'13'","Education","Bachelor's degree","160","-2"
"100663","University of Alabama at Birmingham","2017","First major","'13'","Education","Master's degree","209","-2"
"100663","University of Alabama at Birmingham","2017","First major","'13'","Education","Doctor's degree - research/scholarship","6","-2"
"100663","University of Alabama at Birmingham","2017","First major","'13'","Education","Doctor's degree - professional practice","4","-2"
"100663","University of Alabama at Birmingham","2017","Second major","'13'","Education","Bachelor's degree","43","-2"
"100706","University of Alabama in Huntsville","2017","First major","'13'","Education","Bachelor's degree","36","-2"
"100706","University of Alabama in Huntsville","2017","First major","'13'","Education","Master's degree","26","-2"
"100724","Alabama State University","2017","First major","'13'","Education","Bachelor's degree","91","-2"
"100724","Alabama State University","2017","First major","'13'","Education","Master's degree","47","-2"
"100724","Alabama State University","2017","First major","'13'","Education","Doctor's degree - research/scholarship","0","-2"
"100724","Alabama State University","2017","First major","'13'","Education","Doctor's degree - professional practice","4","-2"
"100751","The University of Alabama","2017","First major","'13'","Education","Bachelor's degree","429","-2"
"100751","The University of Alabama","2017","First major","'13'","Education","Master's degree","163","-2"
"100751","The University of Alabama","2017","First major","'13'","Education","Doctor's degree - research/scholarship","68","-2"
"100751","The University of Alabama","2017","Second major","'13'","Education","Bachelor's degree","0","-2"
"100812","Athens State University","2017","First major","'13'","Education","Bachelor's degree","240","-2"
"100830","Auburn University at Montgomery","2017","First major","'13'","Education","Bachelor's degree","53","-2"
"100830","Auburn University at Montgomery","2017","First major","'13'","Education","Master's degree","84","-2"
"100858","Auburn University","2017","First major","'13'","Education","Bachelor's degree","227","-2"
"100858","Auburn University","2017","First major","'13'","Education","Master's degree","238","-2"
"100858","Auburn University","2017","First major","'13'","Education","Doctor's degree - research/scholarship","58","-2"
"100858","Auburn University","2017","First major","'13'","Education","Doctor's degree - other","0","-2"
"100858","Auburn University","2017","First major","'13.1306'","Foreign Language Teacher Education","Bachelor's degree","5","-2"
"101189","Faulkner University","2017","First major","'13'","Education","Bachelor's degree","27","-2"
"101189","Faulkner University","2017","First major","'13'","Education","Master's degree","11","-2"
"101435","Huntingdon College","2017","First major","'13'","Education","Bachelor's degree","26","-2"
"101480","Jacksonville State University","2017","First major","'13'","Education","Bachelor's degree","104","-2"
"101480","Jacksonville State University","2017","First major","'13'","Education","Master's degree","147","-2"
"101480","Jacksonville State University","2017","Second major","'13'","Education","Bachelor's degree","0","-2"
"101587","University of West Alabama","2017","First major","'13'","Education","Bachelor's degree","30","-2"
"101587","University of West Alabama","2017","First major","'13'","Education","Master's degree","561","-2"
"101587","University of West Alabama","2017","Second major","'13'","Education","Bachelor's degree","2","-2"
"101587","University of West Alabama","2017","Second major","'13'","Education","Master's degree","30","-2"
"101675","Miles College","2017","First major","'13'","Education","Bachelor's degree","6","-2"
"101693","University of Mobile","2017","First major","'13'","Education","Bachelor's degree","27","-2"
"101693","University of Mobile","2017","First major","'13'","Education","Master's degree","6","-2"
"101693","University of Mobile","2017","Second major","'13'","Education","Bachelor's degree","7","-2"
"101709","University of Montevallo","2017","First major","'13'","Education","Bachelor's degree","49","-2"
"101709","University of Montevallo","2017","First major","'13'","Education","Master's degree","96","-2"
"101879","University of North Alabama","2017","First major","'13'","Education","Bachelor's degree","112","-2"
"101879","University of North Alabama","2017","First major","'13'","Education","Master's degree","90","-2"
"101912","Oakwood University","2017","First major","'13'","Education","Bachelor's degree","12","-2"
"102049","Samford University","2017","First major","'13'","Education","Bachelor's degree","51","-2"
"102049","Samford University","2017","First major","'13'","Education","Master's degree","89","-2"
"102049","Samford University","2017","First major","'13'","Education","Doctor's degree - research/scholarship","35","-2"
"102049","Samford University","2017","Second major","'13'","Education","Bachelor's degree","2","-2"
"102094","University of South Alabama","2017","First major","'13'","Education","Bachelor's degree","235","-2"
"102094","University of South Alabama","2017","First major","'13'","Education","Master's degree","128","-2"
"102094","University of South Alabama","2017","First major","'13'","Education","Doctor's degree - research/scholarship","17","-2"
"102094","University of South Alabama","2017","Second major","'13'","Education","Bachelor's degree","1","-2"
"102234","Spring Hill College","2017","First major","'13'","Education","Bachelor's degree","32","-2"
"102234","Spring Hill College","2017","First major","'13'","Education","Master's degree","5","-2"
"102270","Stillman College","2017","First major","'13'","Education","Bachelor's degree","9","-2"
"102298","Talladega College","2017","First major","'13'","Education","Bachelor's degree","1","-2"
"102368","Troy University","2017","First major","'13'","Education","Bachelor's degree","176","-2"
"102368","Troy University","2017","First major","'13'","Education","Master's degree","165","-2"
"102368","Troy University","2017","Second major","'13'","Education","Bachelor's degree","3","-2"
"102377","Tuskegee University","2017","First major","'13'","Education","Bachelor's degree","19","-2"
"102377","Tuskegee University","2017","First major","'13'","Education","Master's degree","0","-2"
"102377","Tuskegee University","2017","Second major","'13'","Education","Bachelor's degree","0","-2"
"102395","United States Sports Academy","2017","First major","'13'","Education","Bachelor's degree","8","-2"
"102395","United States Sports Academy","2017","First major","'13'","Education","Master's degree","10","-2"
"102395","United States Sports Academy","2017","Second major","'13'","Education","Master's degree","0","-2"
"102553","University of Alaska Anchorage","2017","First major","'13'","Education","Bachelor's degree","60","-2"
